lat,lon,elevation,slope_percent,suitability_score,suitable
35.4308,45.48469999999996,677.0,3.6841711560211925,63.15828843978808,True
35.4308,45.49469999999996,651.0,2.8745957599718257,71.25404240028175,True
35.4308,45.50469999999996,624.0,2.425440172476228,75.74559827523773,True
35.4308,45.514699999999955,638.0,2.784764642472706,72.15235357527294,True
35.4308,45.52469999999995,661.0,3.4300903866404204,65.69909613359579,True
35.4308,45.53469999999995,679.0,2.604327886152912,73.95672113847088,True
35.4308,45.54469999999995,684.0,3.3665701942952277,66.33429805704772,True
35.4308,45.55469999999995,696.0,3.6830758174639016,63.16924182536099,True
35.4308,45.564699999999945,717.0,2.604327886152912,73.95672113847088,True
35.4308,45.57469999999994,715.0,3.862738052462141,61.372619475378585,True
35.4308,45.58469999999994,727.0,3.862738052462141,61.372619475378585,True
